time[s]	  500 Hz 	 2000 Hz
0.176	2.66E+09	2.65E+08
0.177	1.25E+09	1.62E+08
0.178	3.69E+08	7.74E+08
0.179	1.77E+09	1.06E+09
0.18	1.86E+09	1.27E+08
0.181	4.00E+08	3.91E+08
0.182	2.57E+08	2.45E+08
0.183	6.11E+08	6.36E+08
0.184	5.03E+08	4.39E+08
0.185	5.34E+08	5.16E+08
0.186	8.25E+08	1.93E+08
0.187	7.55E+08	2.55E+08
0.188	1.77E+08	8.21E+08
0.189	8.72E+07	3.82E+08
0.19	5.81E+08	5.43E+08
0.191	5.95E+08	2.07E+08
0.192	3.66E+08	3.68E+08
0.193	4.54E+08	2.52E+08
0.194	6.21E+08	7.05E+08
0.195	5.30E+08	1.27E+08
0.196	3.70E+08	7.01E+08
0.197	8.57E+08	5.84E+08
0.198	1.51E+09	1.63E+08
0.199	1.28E+09	3.51E+08
0.2	5.52E+08	7.91E+08
0.201	1.60E+08	1.86E+09
0.202	8.23E+07	1.04E+09
0.203	5.66E+08	1.93E+09
0.204	2.07E+09	4.03E+08
0.205	2.64E+09	1.06E+09
0.206	1.14E+09	4.62E+08
0.207	2.46E+08	1.55E+09
0.208	5.58E+08	7.52E+08
0.209	3.78E+08	1.72E+09
0.21	6.47E+07	2.98E+08
0.211	3.73E+07	4.36E+08
0.212	9.58E+07	5.60E+08
0.213	3.29E+08	1.99E+08
0.214	9.23E+08	3.23E+08
0.215	1.37E+09	1.53E+08
0.216	7.36E+08	1.14E+08
0.217	2.12E+08	2.76E+08
0.218	4.94E+08	9.92E+07
0.219	2.31E+08	1.27E+08
0.22	5.99E+08	2.13E+08
0.221	1.11E+09	2.52E+08
0.222	3.39E+08	3.39E+08
0.223	5.52E+08	1.32E+09
0.224	1.49E+09	6.01E+08
0.225	7.38E+08	6.92E+08
0.226	4.02E+08	1.84E+08
0.227	7.00E+08	5.90E+08
0.228	4.50E+08	2.15E+08
0.229	8.63E+07	5.98E+08
0.23	2.59E+08	9.57E+08
0.231	4.93E+08	8.39E+08
0.232	1.89E+08	3.55E+08
0.233	7.36E+07	7.38E+08
0.234	6.33E+08	6.00E+07
0.235	8.48E+08	2.01E+08
0.236	3.01E+08	1.75E+08
0.237	6.15E+08	8.77E+08
0.238	1.58E+09	1.85E+08
0.239	7.78E+08	3.87E+08
0.24	6.38E+08	1.48E+08
0.241	2.70E+09	7.67E+08
0.242	2.07E+09	2.91E+08
0.243	5.99E+08	1.82E+08
0.244	1.97E+09	8.60E+08
0.245	2.22E+09	6.36E+08
0.246	2.05E+09	5.86E+08
