time[s]	  500 Hz 	 2000 Hz
0.773	7.62E+07	2.73E+07
0.774	5.55E+07	9.26E+06
0.775	2.63E+07	2.45E+07
0.776	2.42E+07	3.44E+06
0.777	5.21E+07	2.59E+07
0.778	2.66E+07	1.36E+07
0.779	3.86E+07	3.76E+07
0.78	2.04E+08	2.58E+07
0.781	2.16E+08	5.86E+06
0.782	9.05E+07	3.37E+07
0.783	1.06E+08	2.53E+07
0.784	8.23E+07	1.68E+07
0.785	6.76E+06	1.55E+07
0.786	3.05E+07	2.25E+07
0.787	5.49E+07	2.81E+07
0.788	2.18E+07	2.12E+07
0.789	2.66E+06	6.06E+07
0.79	2.01E+07	2.63E+07
0.791	8.24E+06	2.25E+07
0.792	3.22E+07	8.30E+06
0.793	1.13E+08	2.57E+07
0.794	7.51E+07	6.81E+06
0.795	3.44E+07	1.11E+07
0.796	1.23E+08	1.47E+07
0.797	9.87E+07	1.70E+07
0.798	5.32E+07	6.60E+06
0.799	1.66E+08	5.49E+06
0.8	1.78E+08	8.54E+06
0.801	6.54E+07	9.88E+06
0.802	2.47E+07	1.79E+07
0.803	3.12E+07	2.58E+07
0.804	2.37E+07	1.16E+07
0.805	8.33E+06	1.96E+07
0.806	8.83E+05	4.01E+07
0.807	2.51E+06	3.48E+07
0.808	3.30E+06	4.57E+06
0.809	2.31E+07	1.21E+07
0.81	3.71E+07	1.95E+07
0.811	4.25E+07	3.15E+06
0.812	5.64E+07	5.81E+06
0.813	9.69E+07	7.38E+06
0.814	1.43E+08	1.97E+07
0.815	1.29E+08	3.59E+07
0.816	6.06E+07	1.12E+07
0.817	2.85E+07	1.51E+07
0.818	1.44E+08	8.63E+06
0.819	1.99E+08	2.04E+07
0.82	9.03E+07	4.34E+06
0.821	2.18E+07	1.56E+07
0.822	3.86E+06	3.16E+07
0.823	1.07E+07	8.11E+06
0.824	5.53E+07	7.05E+06
0.825	6.44E+07	1.17E+07
0.826	3.44E+07	1.82E+07
0.827	2.56E+07	1.04E+07
0.828	1.27E+07	1.02E+06
0.829	1.89E+06	2.06E+07
0.83	7.94E+06	6.46E+06
0.831	1.82E+07	8.51E+06
0.832	2.28E+07	8.50E+06
0.833	4.20E+07	1.40E+07
0.834	6.00E+07	6.34E+06
0.835	2.62E+07	1.03E+07
0.836	8.62E+06	2.36E+07
0.837	1.67E+07	1.70E+07
0.838	1.24E+07	8.30E+06
0.839	2.68E+06	2.00E+07
0.84	3.90E+06	1.36E+07
0.841	1.02E+07	2.53E+07
0.842	1.26E+07	4.28E+07
0.843	3.97E+06	6.14E+07
0.844	3.12E+07	2.43E+07
0.845	1.05E+08	4.14E+07
0.846	7.69E+07	3.42E+06
0.847	2.39E+07	1.74E+07
0.848	5.10E+07	1.76E+07
0.849	4.34E+07	1.06E+07
0.85	1.78E+07	2.30E+07
0.851	2.28E+07	6.55E+06
0.852	4.63E+07	2.61E+07
0.853	4.56E+07	2.15E+07
0.854	1.41E+07	3.63E+06
0.855	3.71E+06	7.49E+06
0.856	1.62E+07	9.64E+06
0.857	2.33E+07	2.08E+07
0.858	7.85E+06	3.69E+07
0.859	9.67E+06	1.27E+07
0.86	2.79E+07	2.69E+07
0.861	4.46E+07	2.67E+07
0.862	1.59E+07	1.67E+07
0.863	2.06E+07	2.31E+07
0.864	9.87E+07	2.11E+06
0.865	8.81E+07	7.72E+06
0.866	3.01E+07	4.25E+06
0.867	9.40E+07	5.47E+06
0.868	1.41E+08	3.50E+05
0.869	9.61E+07	7.89E+06
0.87	4.51E+07	4.53E+06
0.871	3.00E+07	9.71E+06
0.872	2.85E+07	9.91E+06
0.873	7.48E+06	9.68E+06
0.874	3.81E+07	6.00E+06
0.875	1.24E+08	3.03E+06
0.876	8.68E+07	1.20E+07
0.877	2.54E+07	7.39E+06
0.878	3.87E+07	1.32E+07
0.879	7.25E+07	1.81E+07
0.88	6.58E+07	2.12E+06
0.881	3.14E+07	6.35E+06
0.882	6.12E+06	2.02E+06
0.883	6.84E+06	2.45E+06
0.884	1.01E+07	2.10E+06
0.885	5.06E+07	3.94E+06
0.886	7.41E+07	5.19E+06
0.887	1.89E+07	4.43E+06
0.888	8.57E+07	1.10E+07
0.889	1.72E+08	2.02E+06
0.89	1.13E+08	5.23E+06
0.891	8.08E+07	1.12E+07
0.892	5.47E+07	1.99E+07
0.893	1.91E+07	4.60E+07
0.894	4.91E+07	2.49E+07
0.895	6.92E+07	3.16E+07
0.896	3.06E+07	5.02E+06
0.897	8.08E+06	1.66E+07
0.898	3.01E+06	1.30E+07
0.899	1.00E+07	6.63E+06
0.9	3.58E+07	2.47E+06
0.901	3.57E+07	1.40E+07
0.902	2.56E+07	2.52E+06
0.903	3.85E+07	1.71E+07
0.904	3.17E+07	5.22E+06
0.905	1.43E+07	8.18E+06
0.906	1.66E+07	1.22E+07
0.907	3.92E+07	2.84E+06
0.908	4.61E+07	9.80E+06
0.909	2.91E+07	2.29E+06
0.91	1.97E+07	2.17E+06
0.911	3.85E+06	3.04E+06
0.912	2.17E+07	1.00E+07
0.913	5.01E+07	8.08E+06
0.914	3.18E+07	8.45E+06
0.915	6.60E+06	3.90E+06
0.916	1.35E+07	1.34E+06
0.917	2.87E+07	4.05E+06
0.918	3.82E+07	8.85E+06
0.919	6.50E+07	6.76E+06
0.92	5.19E+07	1.59E+07
0.921	7.14E+06	6.61E+06
0.922	1.27E+07	8.66E+06
0.923	2.85E+07	5.71E+06
0.924	1.59E+07	3.55E+06
0.925	1.75E+06	1.58E+07
0.926	1.04E+07	2.09E+07
0.927	2.99E+07	2.63E+07
0.928	3.55E+07	1.20E+07
0.929	2.19E+07	1.26E+07
0.93	8.37E+06	3.39E+06
0.931	2.33E+07	1.38E+07
0.932	7.01E+07	1.42E+07
0.933	1.12E+08	3.01E+06
0.934	8.29E+07	9.00E+06
0.935	1.55E+07	1.22E+07
0.936	7.47E+06	1.13E+07
0.937	3.63E+07	7.46E+06
0.938	4.89E+07	1.10E+07
0.939	6.17E+07	7.64E+06
0.94	7.70E+07	3.46E+06
0.941	4.95E+07	3.91E+06
0.942	3.97E+06	3.81E+06
0.943	4.22E+07	1.07E+07
0.944	1.07E+08	1.32E+07
0.945	7.16E+07	7.73E+05
0.946	1.79E+07	1.27E+07
0.947	1.28E+07	7.63E+06
0.948	1.73E+07	9.48E+06
0.949	1.49E+07	7.09E+06
0.95	4.50E+06	1.41E+07
0.951	2.23E+06	8.83E+06
0.952	3.12E+07	2.32E+06
0.953	7.97E+07	7.97E+05
0.954	5.76E+07	7.76E+06
0.955	1.80E+07	2.98E+06
0.956	3.10E+07	2.11E+07
0.957	1.41E+07	4.62E+06
0.958	1.98E+07	2.01E+07
0.959	3.91E+07	5.72E+06
0.96	1.03E+07	2.63E+07
0.961	9.44E+06	5.45E+06
0.962	2.25E+07	3.64E+06
0.963	1.02E+07	1.50E+07
0.964	1.19E+07	5.71E+06
0.965	1.87E+07	2.65E+06
0.966	1.13E+07	3.12E+06
0.967	1.01E+07	6.49E+06
0.968	8.69E+06	2.00E+06
0.969	2.60E+06	1.14E+07
0.97	3.72E+06	2.40E+06
0.971	1.68E+06	2.75E+07
0.972	2.84E+07	2.98E+06
0.973	8.91E+07	5.06E+06
0.974	8.05E+07	6.43E+06
0.975	3.56E+07	1.54E+06
0.976	2.72E+07	4.18E+06
0.977	3.73E+07	1.58E+06
0.978	2.32E+07	6.21E+06
0.979	8.13E+06	5.97E+05
0.98	3.08E+07	6.81E+06
0.981	6.13E+07	1.44E+07
0.982	5.82E+07	3.41E+06
0.983	2.74E+07	1.41E+06
0.984	2.36E+07	6.71E+06
0.985	3.16E+07	7.23E+06
0.986	2.15E+07	1.00E+07
0.987	2.05E+07	2.29E+07
0.988	4.13E+07	1.60E+07
0.989	4.21E+07	1.90E+07
0.99	3.00E+07	9.75E+06
0.991	2.07E+07	7.15E+06
0.992	9.17E+06	1.39E+07
0.993	1.35E+07	4.15E+06
0.994	2.91E+07	7.77E+06
0.995	1.45E+07	6.56E+06
0.996	1.74E+07	8.65E+06
0.997	5.23E+07	1.05E+07
0.998	4.56E+07	1.24E+07
0.999	2.66E+07	2.31E+06
1	5.20E+07	5.09E+06
1.001	6.42E+07	1.82E+07
1.002	2.82E+07	6.03E+06
1.003	9.41E+06	2.11E+07
1.004	2.14E+07	7.21E+06
1.005	9.12E+06	9.31E+06
1.006	7.35E+05	1.07E+07
1.007	9.53E+06	3.97E+06
1.008	3.59E+07	1.11E+07
1.009	4.00E+07	1.16E+06
1.01	8.68E+06	2.13E+06
1.011	6.95E+06	1.05E+07
1.012	2.20E+07	5.10E+06
1.013	3.04E+07	5.45E+06
1.014	2.75E+07	8.45E+06
1.015	5.87E+07	9.13E+06
1.016	8.10E+07	1.17E+07
1.017	4.69E+07	4.30E+06
1.018	5.70E+07	4.63E+06
1.019	4.93E+07	1.99E+06
1.02	3.75E+07	1.51E+06
1.021	8.58E+07	4.31E+06
1.022	4.73E+07	1.95E+06
1.023	2.62E+07	6.32E+06
1.024	8.87E+07	4.55E+06
1.025	5.95E+07	3.17E+06
1.026	4.94E+06	5.55E+06
1.027	1.19E+07	4.07E+06
1.028	1.76E+07	1.05E+07
1.029	1.37E+07	3.33E+06
1.03	1.94E+07	5.12E+05
1.031	2.79E+07	2.26E+06
1.032	2.56E+07	3.17E+06
1.033	1.25E+07	5.18E+06
1.034	3.11E+07	2.96E+06
1.035	6.64E+07	2.89E+06
1.036	6.53E+07	3.83E+06
1.037	3.79E+07	1.06E+06
1.038	1.54E+07	1.69E+06
1.039	5.41E+06	1.39E+06
1.04	6.40E+06	3.89E+06
1.041	1.40E+07	2.08E+06
1.042	7.45E+06	1.35E+07
1.043	4.50E+05	1.26E+06
1.044	5.68E+06	1.09E+07
1.045	1.57E+07	7.49E+06
1.046	1.75E+07	6.26E+06
1.047	1.82E+07	1.78E+06
1.048	2.84E+07	3.28E+06
1.049	2.95E+07	2.79E+06
1.05	1.56E+07	2.27E+06
1.051	2.30E+06	2.75E+06
1.052	1.48E+07	1.22E+06
1.053	3.17E+07	1.28E+07
1.054	3.47E+07	1.92E+06
1.055	5.74E+07	2.66E+06
1.056	4.84E+07	1.72E+06
1.057	3.17E+07	4.36E+06
1.058	2.82E+07	1.86E+06
1.059	1.52E+07	2.72E+06
1.06	1.18E+07	2.56E+06
1.061	2.09E+07	3.34E+06
1.062	1.96E+07	6.05E+05
1.063	2.03E+07	3.53E+06
1.064	3.44E+07	1.41E+06
1.065	2.88E+07	6.42E+06
1.066	5.11E+06	5.80E+06
1.067	1.40E+07	8.63E+06
1.068	3.20E+07	1.45E+07
1.069	1.85E+07	7.81E+06
1.07	3.48E+06	1.28E+07
1.071	9.72E+06	5.84E+06
1.072	5.30E+06	6.02E+05
1.073	8.60E+06	1.35E+06
1.074	3.41E+07	7.17E+06
1.075	2.35E+07	4.20E+06
1.076	1.10E+07	8.84E+06
1.077	2.23E+07	1.10E+06
1.078	2.75E+07	5.13E+05
1.079	2.17E+07	1.15E+06
1.08	1.17E+07	1.91E+06
1.081	1.45E+07	2.48E+06
1.082	3.31E+07	3.62E+06
1.083	3.92E+07	4.91E+06
1.084	3.22E+07	5.15E+06
1.085	2.74E+07	1.08E+06
1.086	1.45E+07	1.83E+06
1.087	2.94E+06	2.03E+05
1.088	3.03E+07	2.52E+06
1.089	4.34E+07	6.81E+06
1.09	1.36E+07	5.56E+06
1.091	3.43E+06	1.56E+06
1.092	5.88E+06	3.39E+06
1.093	1.42E+07	3.16E+06
1.094	2.28E+07	2.15E+06
1.095	8.68E+06	2.73E+06
1.096	4.81E+06	1.22E+07
1.097	4.10E+07	3.88E+06
1.098	7.79E+07	9.91E+06
1.099	6.95E+07	4.23E+06
1.1	3.31E+07	3.12E+06
1.101	1.41E+07	1.55E+06
1.102	2.68E+07	2.18E+06
1.103	4.12E+07	2.99E+06
1.104	2.04E+07	1.26E+06
1.105	1.72E+07	4.96E+06
1.106	5.52E+07	2.64E+06
1.107	2.80E+07	3.49E+06
1.108	5.53E+07	4.15E+06
1.109	1.39E+08	6.14E+06
1.11	8.14E+07	7.09E+06
1.111	9.69E+06	3.22E+06
1.112	1.60E+07	6.60E+06
1.113	5.74E+06	4.07E+06
1.114	7.03E+06	1.69E+06
1.115	1.31E+07	9.64E+05
1.116	2.80E+06	1.65E+06
1.117	4.52E+06	2.48E+06
1.118	7.87E+06	2.22E+06
1.119	5.46E+06	2.18E+06
1.12	8.70E+06	4.66E+06
1.121	8.87E+06	2.56E+06
1.122	1.35E+07	6.02E+06
1.123	1.24E+07	1.03E+07
1.124	2.30E+06	8.47E+06
1.125	4.96E+06	2.85E+06
1.126	1.23E+07	1.36E+06
1.127	6.28E+06	2.72E+06
1.128	2.76E+06	2.24E+06
1.129	1.10E+07	4.36E+06
1.13	1.97E+07	7.93E+05
1.131	2.30E+07	3.76E+06
1.132	2.81E+07	8.13E+05
1.133	4.34E+07	1.70E+06
1.134	4.46E+07	5.27E+06
1.135	2.02E+07	1.57E+06
1.136	2.73E+06	5.54E+06
1.137	3.52E+06	1.08E+07
1.138	2.61E+06	5.99E+06
1.139	4.55E+06	6.00E+06
1.14	1.27E+07	1.52E+07
1.141	1.53E+07	6.31E+06
1.142	2.42E+07	5.21E+06
1.143	5.06E+07	3.73E+06
1.144	5.85E+07	1.15E+07
1.145	3.84E+07	9.28E+06
1.146	8.50E+06	8.45E+06
1.147	1.41E+06	1.18E+07
1.148	6.29E+06	8.41E+06
1.149	5.41E+06	9.33E+06
1.15	4.87E+06	4.03E+06
1.151	5.04E+06	1.65E+06
1.152	5.55E+06	3.74E+06
1.153	1.21E+07	1.87E+06
1.154	2.30E+07	7.75E+05
1.155	1.72E+07	9.53E+05
1.156	2.92E+06	3.33E+05
1.157	1.33E+07	2.21E+06
1.158	2.03E+07	4.02E+06
1.159	1.00E+07	1.51E+06
1.16	3.73E+06	4.72E+06
1.161	2.87E+06	1.49E+06
1.162	7.48E+05	8.68E+05
1.163	1.09E+06	1.18E+06
1.164	8.27E+06	2.08E+06
1.165	2.52E+07	3.39E+05
1.166	2.37E+07	4.02E+06
1.167	4.36E+06	2.95E+06
1.168	2.95E+07	3.06E+06
1.169	5.31E+07	2.90E+06
1.17	2.09E+07	4.44E+06
1.171	3.19E+06	3.57E+06
1.172	8.55E+06	5.57E+06
1.173	3.54E+06	7.37E+06
1.174	8.30E+05	3.64E+06
1.175	7.59E+06	1.45E+06
1.176	1.18E+07	4.29E+06
1.177	8.26E+06	1.94E+06
1.178	2.65E+06	3.69E+06
1.179	3.26E+05	2.39E+05
1.18	2.63E+06	7.64E+05
1.181	1.56E+07	2.49E+05
1.182	3.44E+07	1.19E+05
1.183	2.12E+07	2.48E+06
1.184	1.96E+06	1.52E+06
1.185	1.15E+07	6.23E+05
1.186	8.45E+06	6.09E+05
1.187	1.45E+06	3.24E+06
1.188	7.53E+05	6.20E+06
1.189	6.91E+06	1.13E+06
1.19	3.80E+07	7.99E+05
1.191	4.40E+07	5.35E+05
1.192	1.28E+07	1.11E+06
1.193	9.44E+06	1.04E+06
1.194	3.42E+07	6.16E+05
1.195	3.88E+07	1.23E+06
1.196	1.74E+07	2.26E+06
1.197	1.91E+07	1.79E+06
1.198	5.96E+07	2.88E+06
1.199	5.66E+07	2.37E+05
1.2	1.56E+07	2.55E+06
1.201	1.16E+07	1.20E+06
1.202	3.42E+07	3.39E+06
1.203	2.98E+07	2.65E+06
1.204	5.60E+06	3.37E+06
1.205	1.72E+07	5.40E+06
1.206	4.74E+07	1.89E+06
1.207	2.90E+07	2.99E+06
1.208	4.20E+06	3.32E+06
1.209	2.22E+07	6.11E+06
1.21	2.70E+07	3.24E+06
1.211	3.98E+06	4.70E+06
1.212	2.04E+07	4.55E+06
1.213	4.74E+07	3.54E+06
1.214	3.22E+07	8.28E+05
1.215	1.18E+07	1.64E+06
1.216	1.01E+07	6.56E+05
1.217	1.93E+07	2.57E+05
1.218	1.59E+07	1.66E+05
1.219	4.98E+06	1.18E+06
1.22	1.76E+07	2.63E+06
1.221	3.70E+07	9.19E+05
1.222	3.00E+07	1.70E+06
1.223	9.13E+06	1.02E+06
1.224	4.69E+06	2.63E+06
1.225	9.13E+06	1.02E+06
1.226	1.59E+07	2.17E+06
1.227	2.43E+07	1.38E+06
1.228	2.07E+07	2.06E+06
1.229	1.04E+07	1.33E+06
1.23	2.74E+06	2.80E+06
1.231	1.70E+06	2.19E+06
1.232	6.39E+06	1.61E+06
1.233	6.10E+06	3.33E+05
1.234	3.28E+06	2.45E+06
1.235	2.14E+06	5.77E+05
1.236	1.28E+06	7.13E+05
1.237	3.52E+06	9.23E+05
1.238	1.18E+07	5.57E+05
1.239	1.10E+07	8.51E+05
1.24	1.16E+06	1.69E+06
1.241	5.65E+06	8.03E+05
1.242	2.17E+07	1.26E+06
1.243	4.06E+07	4.43E+06
1.244	3.91E+07	4.42E+05
1.245	2.24E+07	5.65E+05
1.246	1.62E+07	6.58E+05
1.247	1.37E+07	8.66E+05
1.248	2.50E+07	3.09E+06
1.249	3.50E+07	1.46E+06
1.25	1.61E+07	2.25E+06
1.251	8.38E+06	1.11E+06
1.252	3.84E+07	1.40E+06
1.253	2.94E+07	3.91E+05
1.254	3.51E+06	4.36E+05
1.255	1.84E+07	3.52E+06
1.256	2.15E+07	9.12E+05
1.257	1.97E+07	2.39E+06
1.258	2.18E+07	5.41E+06
1.259	1.10E+07	1.66E+06
1.26	4.41E+06	5.04E+06
1.261	1.18E+07	2.98E+05
1.262	1.36E+07	1.36E+06
1.263	3.93E+06	1.45E+06
1.264	9.05E+05	8.97E+05
1.265	6.27E+06	5.37E+05
1.266	9.82E+06	7.73E+05
1.267	9.94E+06	2.22E+06
1.268	5.10E+06	2.19E+06
1.269	1.42E+06	1.35E+06
1.27	3.24E+06	2.36E+06
1.271	3.70E+06	1.59E+06
1.272	1.35E+06	1.86E+06
1.273	2.73E+06	7.15E+05
1.274	4.70E+06	5.10E+05
1.275	4.12E+06	1.05E+06
1.276	1.41E+06	4.21E+05
1.277	7.00E+05	1.87E+05
1.278	7.87E+06	8.18E+05
1.279	2.05E+07	5.02E+05
1.28	2.93E+07	3.05E+05
1.281	1.83E+07	8.59E+05
1.282	1.01E+07	2.19E+06
1.283	2.31E+07	1.14E+06
1.284	3.66E+07	8.41E+05
1.285	2.75E+07	6.39E+05
1.286	4.31E+06	3.48E+05
1.287	8.57E+06	1.83E+05
1.288	2.29E+07	7.06E+05
1.289	1.47E+07	2.02E+05
1.29	3.46E+06	9.26E+05
1.291	4.62E+06	1.62E+05
1.292	8.35E+06	8.02E+05
1.293	5.42E+06	1.53E+06
1.294	1.14E+06	9.04E+05
1.295	6.75E+06	1.12E+06
1.296	1.15E+07	1.01E+06
1.297	4.62E+06	9.78E+05
1.298	2.00E+06	7.40E+05
1.299	9.88E+06	8.15E+05
1.3	1.13E+07	1.67E+06
1.301	4.98E+06	2.09E+05
1.302	6.16E+06	5.09E+05
1.303	7.66E+06	5.21E+05
1.304	7.21E+06	7.11E+05
1.305	1.30E+07	6.41E+05
1.306	1.45E+07	2.14E+06
1.307	4.35E+06	1.57E+06
1.308	5.35E+06	1.65E+06
1.309	1.02E+07	9.52E+05
1.31	5.61E+06	1.58E+06
1.311	7.56E+06	3.31E+05
1.312	1.46E+07	2.15E+06
1.313	2.24E+07	7.55E+05
1.314	2.23E+07	1.37E+06
1.315	9.76E+06	1.81E+05
1.316	4.57E+05	1.33E+06
1.317	3.52E+06	1.36E+06
1.318	5.70E+06	2.19E+06
1.319	2.75E+06	8.79E+05
1.32	1.77E+06	2.43E+06
1.321	7.82E+06	1.94E+05
1.322	1.85E+07	6.99E+05
1.323	2.60E+07	1.66E+06
1.324	1.36E+07	4.06E+05
1.325	1.37E+06	5.50E+05
1.326	1.07E+07	2.47E+05
1.327	2.15E+07	4.59E+05
1.328	1.37E+07	4.07E+05
1.329	4.17E+06	7.28E+05
1.33	1.01E+06	3.62E+05
1.331	1.66E+06	1.64E+06
1.332	8.17E+06	2.56E+06
1.333	1.47E+07	1.10E+06
1.334	1.07E+07	6.62E+05
1.335	2.44E+06	2.11E+05
1.336	2.53E+06	1.55E+06
1.337	7.26E+06	9.16E+05
1.338	1.04E+07	7.49E+06
1.339	7.84E+06	2.71E+06
1.34	2.05E+06	6.21E+06
1.341	8.86E+05	1.96E+06
1.342	1.38E+06	1.57E+06
1.343	1.40E+06	2.69E+06
1.344	2.24E+06	1.73E+06
1.345	1.33E+06	1.39E+06
1.346	5.80E+05	2.37E+06
1.347	3.60E+06	6.26E+05
1.348	4.76E+06	2.07E+06
1.349	7.26E+05	1.30E+06
1.35	7.48E+06	3.96E+05
1.351	2.67E+07	6.09E+05
1.352	2.11E+07	2.53E+05
1.353	3.54E+06	2.77E+05
1.354	1.67E+07	1.89E+06
1.355	2.49E+07	1.22E+06
1.356	1.18E+07	1.13E+06
1.357	1.50E+07	1.16E+06
1.358	1.99E+07	9.32E+05
1.359	7.19E+06	8.76E+05
1.36	2.45E+05	6.51E+05
1.361	4.05E+06	1.77E+06
1.362	1.36E+07	1.51E+06
1.363	1.46E+07	1.51E+06
1.364	4.03E+06	1.47E+06
1.365	1.47E+06	2.98E+06
1.366	3.01E+06	3.05E+05
1.367	2.21E+06	2.93E+05
1.368	1.13E+06	3.44E+05
1.369	8.22E+05	1.21E+06
1.37	1.06E+06	1.44E+06
1.371	9.71E+05	3.66E+05
1.372	1.13E+06	2.35E+06
1.373	5.83E+06	1.23E+06
1.374	6.67E+06	1.02E+06
1.375	3.39E+05	6.87E+05
1.376	1.06E+07	1.85E+06
1.377	3.66E+07	6.63E+05
1.378	4.07E+07	2.36E+05
1.379	1.33E+07	2.35E+05
1.38	3.35E+06	1.05E+06
1.381	1.47E+07	6.90E+05
1.382	1.09E+07	8.60E+05
1.383	3.07E+06	1.58E+06
1.384	8.26E+05	1.76E+06
1.385	6.83E+05	1.06E+06
1.386	6.36E+06	2.69E+06
1.387	7.01E+06	3.07E+06
1.388	3.17E+06	2.67E+06
1.389	7.91E+06	1.70E+06
1.39	1.30E+07	3.28E+06
1.391	1.07E+07	1.57E+06
1.392	1.23E+07	1.81E+06
1.393	1.58E+07	6.88E+05
1.394	1.14E+07	7.95E+05
1.395	2.58E+06	9.83E+05
1.396	1.52E+06	9.31E+05
1.397	6.00E+06	9.40E+05
1.398	5.84E+06	1.21E+06
1.399	1.52E+06	5.87E+05
1.4	6.80E+04	3.39E+05
1.401	9.91E+05	2.80E+05
1.402	7.66E+06	9.60E+04
1.403	1.61E+07	8.58E+05
1.404	1.06E+07	2.29E+05
1.405	1.11E+06	7.73E+05
1.406	4.46E+06	7.87E+05
1.407	1.61E+07	1.46E+06
1.408	1.96E+07	5.75E+05
1.409	1.33E+07	3.15E+05
1.41	5.38E+06	7.00E+05
1.411	9.18E+05	7.38E+05
1.412	7.04E+05	1.36E+06
1.413	2.98E+06	8.05E+05
1.414	7.61E+06	1.19E+06
1.415	8.87E+06	7.52E+05
1.416	3.98E+06	1.54E+06
1.417	2.29E+06	1.41E+06
1.418	4.44E+06	1.12E+06
1.419	3.39E+06	8.61E+05
1.42	4.83E+05	1.82E+05
1.421	3.89E+06	2.75E+05
1.422	9.65E+06	1.51E+05
1.423	8.46E+06	1.22E+06
1.424	4.27E+06	8.91E+05
1.425	2.74E+06	1.63E+06
1.426	5.83E+06	6.62E+05
1.427	9.49E+06	1.37E+06
1.428	7.94E+06	3.35E+05
1.429	8.98E+06	2.71E+05
1.43	9.26E+06	5.15E+05
1.431	2.13E+06	4.21E+05
1.432	5.04E+06	5.26E+05
1.433	1.08E+07	1.05E+06
1.434	1.22E+07	1.38E+06
1.435	1.12E+07	1.13E+06
1.436	7.09E+06	1.26E+06
1.437	9.08E+06	3.11E+05
1.438	1.27E+07	1.24E+06
1.439	7.57E+06	7.67E+04
1.44	3.63E+06	1.25E+06
1.441	8.69E+06	6.02E+05
1.442	1.17E+07	7.57E+05
1.443	1.02E+07	5.38E+05
1.444	1.54E+07	1.49E+06
1.445	2.13E+07	4.52E+05
1.446	1.07E+07	5.25E+05
1.447	4.13E+06	2.58E+05
1.448	1.16E+07	5.66E+05
1.449	9.32E+06	5.59E+05
1.45	4.21E+06	1.42E+06
1.451	6.34E+06	1.51E+06
1.452	8.70E+06	9.05E+05
1.453	6.46E+06	1.17E+06
1.454	2.36E+06	2.97E+06
1.455	3.10E+06	4.46E+05
1.456	4.20E+06	1.23E+06
1.457	3.59E+06	1.31E+06
1.458	3.61E+06	1.48E+06
1.459	2.56E+06	9.87E+05
1.46	9.27E+05	7.43E+05
1.461	1.49E+05	9.59E+05
1.462	1.47E+06	1.70E+06
1.463	3.03E+06	2.90E+05
1.464	1.36E+06	9.18E+05
1.465	6.11E+04	1.54E+05
1.466	1.53E+06	7.47E+05
1.467	3.52E+06	2.84E+05
1.468	3.92E+06	3.17E+05
1.469	4.44E+06	1.98E+05
1.47	8.84E+06	2.12E+05
1.471	7.40E+06	6.43E+04
1.472	1.91E+06	3.61E+05
1.473	7.83E+05	3.20E+05
1.474	8.59E+05	2.38E+05
1.475	1.17E+06	3.57E+05
1.476	3.67E+06	6.47E+05
1.477	9.49E+06	1.11E+06
1.478	1.22E+07	1.69E+05
1.479	7.72E+06	3.32E+05
1.48	3.51E+06	3.82E+05
1.481	1.31E+06	3.25E+05
1.482	1.17E+06	3.56E+05
1.483	8.60E+06	2.15E+05
1.484	9.82E+06	2.96E+05
1.485	1.74E+06	1.13E+05
1.486	2.78E+06	4.97E+05
1.487	6.39E+06	1.12E+05
1.488	2.85E+06	3.10E+05
1.489	2.07E+05	8.33E+05
1.49	2.43E+06	5.45E+05
1.491	4.68E+06	5.22E+05
1.492	5.47E+06	2.63E+05
1.493	4.61E+06	8.27E+04
1.494	1.89E+06	1.52E+05
1.495	1.19E+06	4.41E+05
1.496	7.77E+05	2.57E+05
1.497	9.80E+04	6.37E+05
1.498	1.69E+06	8.66E+05
1.499	1.97E+06	4.72E+05
1.5	1.31E+06	7.28E+05
1.501	1.84E+06	5.03E+05
1.502	2.11E+06	3.88E+05
1.503	2.43E+06	5.58E+05
1.504	3.90E+06	6.99E+05
1.505	4.54E+06	1.54E+06
1.506	1.90E+06	6.42E+05
1.507	7.55E+05	7.61E+05
1.508	1.52E+06	1.57E+06
1.509	7.96E+05	1.32E+06
1.51	1.19E+06	1.74E+05
1.511	1.67E+06	1.20E+06
1.512	1.50E+06	4.71E+05
1.513	2.15E+06	9.49E+05
1.514	1.88E+06	1.10E+06
1.515	2.25E+05	1.04E+06
1.516	7.17E+05	1.15E+06
1.517	7.77E+05	1.99E+06
1.518	1.35E+06	4.87E+05
1.519	3.33E+06	7.61E+05
1.52	3.28E+06	1.55E+06
1.521	8.40E+05	8.04E+05
1.522	7.84E+05	8.04E+05
1.523	5.35E+06	6.02E+05
1.524	4.86E+06	1.14E+06
1.525	7.26E+05	9.31E+05
1.526	2.72E+06	1.12E+06
1.527	2.63E+06	1.55E+05
1.528	2.53E+05	1.23E+05
1.529	1.69E+06	2.74E+05
1.53	2.39E+06	7.42E+05
1.531	1.65E+06	6.68E+05
1.532	8.80E+05	2.00E+06
1.533	9.98E+05	1.19E+05
1.534	1.79E+06	7.01E+05
1.535	1.20E+06	1.97E+05
1.536	8.53E+05	1.01E+06
1.537	2.05E+06	9.07E+05
1.538	8.75E+05	1.63E+06
1.539	2.11E+06	3.94E+05
1.54	6.09E+06	3.60E+05
1.541	4.71E+06	1.51E+06
1.542	6.32E+05	4.93E+05
1.543	4.13E+06	1.48E+05
1.544	4.32E+06	1.95E+05
1.545	6.49E+05	2.79E+05
1.546	2.29E+06	3.21E+04
1.547	6.35E+06	2.83E+05
1.548	9.69E+06	1.70E+05
